PKM_Name;Gnum;Pnum;Chain_Name;ChainStructure;Chain_Structure_Act;Chain_ShortName
P3PRRRR6G3P3A1;3;3;S5PRRRR6;{\`P}{\'R}{\'R}{\`R}{\`R};\underline{\`P}{\'R}{\'R}{\`R}{\`R};PRRRR
P3PRRRR6G4P1A1;4;1;S5PRRRR6;{\`P}{\'R}{\'R}{\`R}{\`R};\underline{\`P}{\'R}{\'R}{\`R}{\`R};PRRRR
P3PRRRR6G4P2A1;4;2;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P3PRRRR6G4P3A1;4;3;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P3PRRRR6G9P2A1;9;2;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P3PRRRR6G9P3A1;9;3;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P3PRRRR6V1G1P1A1;1;1;S5PRRRR6V1;{\`P}{\'R}{\'R}{\`R}{\`R};\underline{\`P}{\'R}{\'R}{\`R}{\`R};PRUR
P3PRRRR6V1G1P2A1;1;2;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P3PRRRR6V1G1P3A1;1;3;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P3PRRRR6V1G2P1A1;2;1;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P3PRRRR6V1G2P3A1;2;3;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
